index,x,y,layer,weight,rho,delta,nh,isSeed,clusterId
0,30.72,-33.71,0,1,337,0.460976,1,0,0
1,30.26,-33.68,0,1,340,3.33054,58,0,0
2,29.13,-35.69,0,1,331,2.29578,10,0,0
3,31.26,-34.13,0,1,332,0.684107,0,0,0
4,29.28,-33.06,0,1,336,0.879205,15,0,0
5,38.07,-41.37,0,1,351,2.04788,39,0,0
6,31.38,-32.8,0,1,333,0.894426,26,0,0
7,45.99,-46.01,0,1,342,1.26289,17,0,0
8,40.57,-45.3,0,1,353,0.514782,9,0,0
9,40.12,-45.05,0,1,353,1.5199,13,0,0
10,30.08,-33.6,0,1,337,0.196978,1,0,0
11,28.29,-32.73,0,1,338,1.44641,58,0,0
12,41.55,-44.56,0,1,352,0.316231,25,0,0
13,39.27,-43.79,0,1,355,1.00846,39,0,0
14,43.34,-46.23,0,1,341,0.290001,31,0,0
15,30.01,-32.57,0,1,338,1.13781,1,0,0
16,36.17,-43.34,0,1,347,2.17083,39,0,0
17,46.17,-47.26,0,1,343,2.59268,56,0,0
18,35.14,-38.98,0,1,352,1.43837,46,0,0
19,39.38,-39.16,0,1,347,2.03049,70,0,0
20,27.43,-32.86,0,1,333,0.751066,51,0,0
21,41.52,-46.36,0,1,346,0.389103,34,0,0
22,38.97,-47.19,0,1,340,1.60066,111,0,0
23,33.8,-40.26,0,1,348,1.8531,18,0,0
24,40.76,-44.49,0,1,352,0.831983,8,0,0
25,41.65,-44.26,0,1,355,2.74847,48,0,0
26,30.58,-32.4,0,1,336,0.59481,15,0,0
27,46,-47.64,0,1,337,0.416293,17,0,0
28,44.1,-48.84,0,1,334,1.15884,69,0,0
29,33.58,-32.34,0,1,324,0.313208,49,0,0
30,32.84,-33.87,0,1,327,1.59803,47,0,0
31,43.05,-46.23,0,1,342,1.08166,40,0,0
32,35.39,-41.9,0,1,344,1.63768,16,0,0
33,42.79,-48.22,0,1,337,2.00691,31,0,0
34,41.69,-46.01,0,1,347,1.32608,8,0,0
35,45.26,-43.39,0,1,347,0.370134,67,0,0
36,39.24,-45.02,0,1,349,0.880508,9,0,0
37,41.09,-41.13,0,1,352,1.21202,54,0,0
38,41.93,-39.64,0,1,344,1.71047,37,0,0
39,38.34,-43.4,0,1,359,999,-1,1,0
40,42.99,-45.15,0,1,344,1.29988,56,0,0
41,40.26,-40.35,0,1,343,1.13899,37,0,0
42,45.72,-43.36,0,1,346,0.46098,35,0,0
43,33.8,-42.39,0,1,340,0.671193,87,0,0
44,25.57,-35.07,0,1,323,1.26194,78,0,0
45,44.99,-44.25,0,1,350,1.3121,48,0,0
46,36.09,-37.9,0,1,352,5.94243,39,0,0
47,33,-35.46,0,1,338,2.12721,74,0,0
48,44.19,-43.21,0,1,355,1.14826,79,0,0
49,33.49,-32.64,0,1,326,1.39119,30,0,0
50,35.13,-34.79,0,1,335,1.0959,108,0,0
51,26.68,-32.82,0,1,337,1.61251,11,0,0
52,44.63,-50.23,0,1,332,0.529243,69,0,0
53,47.7,-44.39,0,1,335,1.59624,103,0,0
54,41.02,-42.34,0,1,353,1.67574,59,0,0
55,45.47,-49.69,0,1,332,0.64195,69,0,0
56,44.23,-45.54,0,1,348,1.49723,45,0,0
57,32.87,-36.73,0,1,336,1.27664,47,0,0
58,27.89,-31.34,0,1,340,6.90974,60,0,0
59,42.47,-41.5,0,1,356,1.47166,79,0,0
60,31.47,-37.25,0,1,342,2.75334,76,0,0
61,46.78,-47.45,0,1,342,0.638907,17,0,0
62,26.61,-36.85,0,1,330,2.77417,2,0,0
63,42.21,-48.78,0,1,336,0.806225,33,0,0
64,30.37,-30.89,0,1,336,1.71814,15,0,0
65,34.82,-38.52,0,1,350,0.560356,18,0,0
66,36.01,-37.65,0,1,350,0.262489,46,0,0
67,45.25,-43.02,0,1,347,1.07689,48,0,0
68,35.51,-32.13,0,1,326,1.69665,149,0,0
69,44.83,-49.74,0,1,334,1.52003,102,0,0
70,38.93,-37.18,0,1,347,0.782624,115,0,0
71,33.31,-39.31,0,1,344,0.460107,76,0,0
72,27.14,-31.27,0,1,339,0.75326,58,0,0
73,31.04,-38.26,0,1,337,0.324499,99,0,0
74,34.05,-37.31,0,1,341,1.43422,65,0,0
75,32.79,-39.7,0,1,338,0.65,71,0,0
76,33.62,-38.97,0,1,346,1.2816,65,0,0
77,44.09,-41.36,0,1,355,0.822801,79,0,0
78,24.38,-34.65,0,1,323,1.04005,131,0,0
79,43.8,-42.13,0,1,358,5.60576,39,0,0
80,29.54,-30.18,0,1,334,1.09224,64,0,0
81,43.97,-50.82,0,1,330,0.885268,52,0,0
82,44.11,-50.91,0,1,328,0.166433,81,0,0
83,35.86,-36.16,0,1,344,0.816147,89,0,0
84,37.32,-36.39,0,1,350,1.94756,46,0,0
85,24.77,-35.59,0,1,321,0.954148,44,0,0
86,35.12,-36.25,0,1,341,0.745455,83,0,0
87,33.52,-43,0,1,341,2.16954,32,0,0
88,37.16,-35.48,0,1,346,0.750267,107,0,0
89,36.67,-36.06,0,1,346,0.728972,84,0,0
90,30.59,-29.22,0,1,322,1.02078,158,0,0
91,36.58,-46.34,0,1,345,2.96951,36,0,0
92,48.79,-48.15,0,1,341,2.12841,61,0,0
93,34.59,-45.57,0,1,333,0.732461,106,0,0
94,35.69,-31.98,0,1,323,0.234309,68,0,0
95,27.1,-38.54,0,1,327,1.41548,97,0,0
96,40.53,-50.19,0,1,331,2.19329,63,0,0
97,26.54,-37.24,0,1,328,0.396235,62,0,0
98,37.76,-35.99,0,1,348,0.55082,107,0,0
99,31.22,-38.53,0,1,338,0.33541,100,0,0
100,31.55,-38.47,0,1,341,1.22262,60,0,0
101,34.02,-29.61,0,1,313,1.19808,153,0,0
102,46.35,-49.75,0,1,342,2.4965,17,0,0
103,48.96,-45.37,0,1,336,1.0787,119,0,0
104,49.94,-47.4,0,1,338,1.3,105,0,0
105,48.68,-47.08,0,1,339,1.07564,92,0,0
106,35.16,-46.03,0,1,340,1.45345,91,0,0
107,37.91,-35.46,0,1,349,1.10136,84,0,0
108,36.1,-34.28,0,1,335,1.60113,88,0,0
109,43.18,-50.95,0,1,329,0.800626,81,0,0
110,47.99,-42.81,0,1,338,2.25595,154,0,0
111,37.62,-48.05,0,1,340,2.00142,91,0,0
112,45.52,-51.46,0,1,334,1.17154,134,0,0
113,31.57,-42.67,0,1,334,1.97773,87,0,0
114,44.27,-39.44,0,1,342,1.92842,77,0,0
115,39.63,-36.83,0,1,347,2.05,98,0,0
116,22.42,-31.91,0,1,329,0.881193,151,0,0
117,47.02,-51.99,0,1,337,2.33806,102,0,0
118,23.76,-35.74,0,1,319,1.02108,85,0,0
119,50.02,-45.57,0,1,339,2.8582,92,0,0
120,27.53,-29.43,0,1,330,1.88088,72,0,0
121,30.29,-38.96,0,1,338,1.35192,100,0,0
122,34.91,-46.23,0,1,337,0.320157,106,0,0
123,23.95,-28.54,0,1,321,2.26861,144,0,0
124,25.09,-38.16,0,1,318,1.71724,97,0,0
125,35.18,-30.14,0,1,317,1.90937,94,0,0
126,50.89,-46.13,0,1,332,1.03465,119,0,0
127,39.49,-50.06,0,1,328,1.04809,96,0,0
128,23.19,-34.52,0,1,323,1.10639,132,0,0
129,24.12,-37.52,0,1,314,1.16211,124,0,0
130,30.31,-39.33,0,1,336,0.370543,121,0,0
131,24.39,-33.61,0,1,324,1.50233,143,0,0
132,22.23,-33.97,0,1,323,1.20739,143,0,0
133,33.18,-45.53,0,1,337,2.04216,106,0,0
134,46.42,-52.21,0,1,335,0.639063,117,0,0
135,34.68,-46.76,0,1,333,0.577753,122,0,0
136,50.32,-43.74,0,1,321,0.572712,141,0,0
137,20.2,-30.39,0,1,326,2.13965,151,0,0
138,39.23,-34.64,0,1,330,1.18903,147,0,0
139,48.98,-50.62,0,1,345,6.95477,56,0,0
140,39,-35.84,0,1,342,1.15434,107,0,0
141,50.08,-43.22,0,1,325,2.12984,110,0,0
142,31.5,-44,0,1,331,0.228035,146,0,0
143,23,-33.04,0,1,327,1.27016,116,0,0
144,21.7,-28.83,0,1,327,1.15572,173,0,0
145,50.99,-48.99,0,1,339,2.35491,92,0,0
146,31.72,-44.06,0,1,332,1.39807,113,0,0
147,39.6,-35.77,0,1,339,0.604068,140,0,0
148,51.41,-45.79,0,1,330,0.621289,126,0,0
149,37.06,-32.82,0,1,329,1.74734,108,0,0
150,31.78,-44.89,0,1,330,0.832164,146,0,0
151,21.55,-32.05,0,1,332,5.18747,51,0,0
152,52.7,-45.26,0,1,314,1.39463,148,0,0
153,33.07,-28.88,0,1,313,2.18687,192,0,0
154,46.37,-41.24,0,1,341,2.10304,67,0,0
155,49.51,-51.04,0,1,341,0.67624,139,0,0
156,46.03,-52.89,0,1,324,0.7839,134,0,0
157,50.35,-49.68,0,1,335,0.941118,145,0,0
158,30.01,-28.38,0,1,324,1.65097,162,0,0
159,36.48,-30.17,0,1,316,1.30035,125,0,0
160,26.66,-40.57,0,1,314,2.07714,95,0,0
161,45.73,-38.28,0,1,336,1.86472,114,0,0
162,28.37,-28.57,0,1,329,1.20217,120,0,0
163,50.64,-50.4,0,1,332,0.77621,157,0,0
164,27.06,-26.43,0,1,319,0.701783,184,0,0
165,49.95,-51.7,0,1,337,0.793222,155,0,0
166,28.92,-27.63,0,1,317,1.08908,162,0,0
167,36.26,-48.99,0,1,330,1.65324,111,0,0
168,47.76,-39.58,0,1,325,0.49679,208,0,0
169,37.8,-50.59,0,1,318,1.64469,183,0,0
170,33.78,-47.53,0,1,328,1.18444,135,0,0
